nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm0021722,Joaquim Almada,1893,\N,actor,"tt0014207,tt0026900"
nm0021723,Jorge Almada,\N,\N,"actor,miscellaneous","tt2777882,tt0787157,tt0444188,tt0328107"
nm0021724,José Luis Almada,\N,\N,"production_manager,art_department,producer","tt0287031,tt1666143,tt6228616,tt2403961"
nm0021725,José Luis Almada,\N,\N,actor,"tt0218412,tt0330607,tt0277648,tt0277597"
nm0021727,Luis Almada,\N,\N,"actor,cinematographer","tt16174988,tt0261988"
nm0021728,Mario Almada,1922,2016,"actor,producer,writer","tt0065630,tt0075947,tt0088908,tt0203168"
nm0021729,Rita Almada,\N,\N,"actress,miscellaneous","tt0154073,tt0118926,tt0120573,tt0220875"
nm0021730,Kati Almadi,\N,\N,actress,tt0077514
nm0021731,Jacinto Almadén 'Niño de Almadén',\N,\N,"actor,composer,soundtrack","tt0038433,tt0058895,tt0137975,tt0038432"
nm0021733,Dan Almagor,\N,\N,"soundtrack,composer,music_department","tt0042320,tt0071715,tt0060218,tt0076139"
nm0021734,Gila Almagor,1939,\N,"actress,writer,producer","tt0408306,tt0109751,tt0833548,tt0095433"
nm0021735,Almagro,\N,\N,soundtrack,"tt0058966,tt0059446,tt0160334,tt0077454"
nm0021736,Martín Almagro Basch,\N,\N,miscellaneous,tt0148035
nm0021737,Iván Almagro,\N,\N,actor,"tt0065174,tt0074167,tt0064514,tt0065251"
nm0021738,Juan Almagro,\N,\N,actor,tt0061160
nm0021739,Juan Carlos Almagro,\N,\N,actor,"tt0064778,tt0366093,tt0324904,tt0439930"
nm0021740,Luis Almagro,\N,\N,camera_department,"tt0109773,tt1511454"
nm0021741,Loren Almaguer,\N,\N,actor,tt0086250
nm0021742,Almamegretta,\N,\N,"composer,soundtrack,music_department","tt0140046,tt0228163,tt0414891,tt0209958"
nm0021743,Flavia Alman,\N,\N,director,tt0257608
nm0021744,Jill Alman,\N,\N,casting_department,"tt0091225,tt0093253,tt0091680,tt0093036"
nm0021745,John Alman,\N,\N,miscellaneous,tt0092746
nm0021746,Tanya Alman,\N,\N,actress,tt0119361
nm0021747,Maryiam Palvin Almani,\N,\N,actress,tt0255094
nm0021748,Carlos Almansa,\N,\N,animation_department,tt0139171
nm0021749,Fidel Almansa,\N,\N,actor,"tt0239955,tt0119974,tt5080224,tt0321175"
nm0021750,Karen Almany,\N,\N,actress,tt0151022
nm0021751,Alfredo Almanza,1910,1995,actor,"tt0184342,tt0186380,tt0188412,tt0274333"
