MovieID,budget,company,companyID,country,director,genre,gross,Movie,rating,Released Date,runtime,score,Actor,votes,writer,year
Young & BeautifulMarine Vacth2013,0,Mandarin Films,Mandarin FilmsFrance,France,François Ozon,Drama,48022,Young & Beautiful,NOT RATED,4/25/2014,95,6.8,Marine Vacth,25415,François Ozon,2013
I Give It a YearRose Byrne2013,0,StudioCanal,StudioCanalUK,UK,Dan Mazer,Comedy,32514,I Give It a Year,R,2/8/2013,97,5.7,Rose Byrne,31956,Dan Mazer,2013
JobsAshton Kutcher2013,12000000,Open Road Films (II),Open Road Films (II)USA,USA,Joshua Michael Stern,Biography,16117443,Jobs,PG-13,8/16/2013,128,5.9,Ashton Kutcher,83258,Matt Whiteley,2013
Before MidnightEthan Hawke2013,3000000,Faliro House Productions,Faliro House ProductionsUSA,USA,Richard Linklater,Drama,8114627,Before Midnight,R,6/14/2013,109,7.9,Ethan Hawke,108281,Richard Linklater,2013
SnitchDwayne Johnson2013,15000000,Exclusive Media Group,Exclusive Media GroupUSA,USA,Ric Roman Waugh,Action,42930462,Snitch,PG-13,2/22/2013,112,6.5,Dwayne Johnson,69553,Justin Haythe,2013
LovelaceAmanda Seyfried2013,10000000,Millennium Films,Millennium FilmsUSA,USA,Rob Epstein,Biography,356582,Lovelace,R,9/20/2013,93,6.2,Amanda Seyfried,33357,Andy Bellin,2013
The Bling RingKatie Chang2013,8000000,American Zoetrope,American ZoetropeUSA,USA,Sofia Coppola,Biography,5841046,The Bling Ring,R,6/21/2013,90,5.6,Katie Chang,72810,Sofia Coppola,2013
The Big WeddingRobert De Niro2013,35000000,Two Ton Films,Two Ton FilmsUSA,USA,Justin Zackham,Comedy,21784432,The Big Wedding,R,4/26/2013,100,5.6,Robert De Niro,40708,Justin Zackham,2013
ParkerJason Statham2013,35000000,Incentive Filmed Entertainment,Incentive Filmed EntertainmentUSA,USA,Taylor Hackford,Action,17609982,Parker,R,1/25/2013,118,6.2,Jason Statham,97771,John J. McLaughlin,2013
The Book ThiefSophie Nélisse2013,19000000,Fox 2000 Pictures,Fox 2000 PicturesUSA,USA,Brian Percival,Drama,21488481,The Book Thief,PG-13,11/27/2013,131,7.6,Sophie Nélisse,108953,Markus Zusak,2013
Anchorman 2: The Legend ContinuesWill Ferrell2013,50000000,Paramount Pictures,Paramount PicturesUSA,USA,Adam McKay,Comedy,127352707,Anchorman 2: The Legend Continues,PG-13,12/18/2013,119,6.3,Will Ferrell,142452,Will Ferrell,2013
The Smurfs 2Neil Patrick Harris2013,105000000,Columbia Pictures,Columbia PicturesUSA,USA,Raja Gosnell,Animation,71017784,The Smurfs 2,PG,7/31/2013,105,5.4,Neil Patrick Harris,30631,J. David Stem,2013
The CallHalle Berry2013,13000000,TriStar Pictures,TriStar PicturesUSA,USA,Brad Anderson,Crime,51872378,The Call,R,3/15/2013,100,6.7,Halle Berry,95726,Richard D'Ovidio,2013
Blue RuinMacon Blair2013,1066167,The Lab of Madness,The Lab of MadnessUSA,USA,Jeremy Saulnier,Crime,258113,Blue Ruin,R,7/9/2014,90,7.1,Macon Blair,51447,Jeremy Saulnier,2013
Romeo & JulietHailee Steinfeld2013,0,Amber Entertainment,Amber EntertainmentUK,UK,Carlo Carlei,Drama,1161089,Romeo & Juliet,PG-13,10/11/2013,113,5.8,Hailee Steinfeld,9141,Julian Fellowes,2013
I Spit on Your Grave 2Jemma Dallender2013,0,Cinetel Films,Cinetel FilmsUSA,USA,Steven R. Monroe,Crime,441,I Spit on Your Grave 2,R,1/19/2014,106,5.7,Jemma Dallender,21070,Neil Elman,2013
The Incredible Burt WonderstoneSteve Carell2013,30000000,New Line Cinema,New Line CinemaUSA,USA,Don Scardino,Adventure,22525921,The Incredible Burt Wonderstone,PG-13,3/15/2013,100,5.9,Steve Carell,63722,Jonathan Goldstein,2013
Short Term 12Brie Larson2013,0,Animal Kingdom,Animal KingdomUSA,USA,Destin Daniel Cretton,Drama,1010414,Short Term 12,R,8/23/2013,96,8,Brie Larson,64478,Destin Daniel Cretton,2013
The Zero TheoremChristoph Waltz2013,8500000,Voltage Pictures,Voltage PicturesUK,UK,Terry Gilliam,Comedy,219438,The Zero Theorem,R,8/19/2014,107,6.1,Christoph Waltz,38378,Pat Rushin,2013
The Kings of SummerNick Robinson2013,0,Big Beach Films,Big Beach FilmsUSA,USA,Jordan Vogt-Roberts,Adventure,1290312,The Kings of Summer,R,8/23/2013,95,7.2,Nick Robinson,67276,Chris Galletta,2013
Last VegasRobert De Niro2013,28000000,CBS Films,CBS FilmsUSA,USA,Jon Turteltaub,Comedy,63914167,Last Vegas,PG-13,11/1/2013,105,6.6,Robert De Niro,114125,Dan Fogelman,2013
Drinking BuddiesOlivia Wilde2013,0,Burn Later Productions,Burn Later ProductionsUSA,USA,Joe Swanberg,Comedy,342936,Drinking Buddies,R,7/25/2013,90,6.1,Olivia Wilde,49646,Joe Swanberg,2013
