nconst,primaryName,primaryProfession,tconst
nm0000674,Tamlyn Tomita,writer,tt0091326
nm0000676,Chris Tucker,writer,tt0266915
nm0000676,Chris Tucker,writer,tt0119695
nm0000676,Chris Tucker,writer,tt0120812
nm0000676,Chris Tucker,writer,tt1045658
nm0000681,Vince Vaughn,writer,tt0396269
nm0000681,Vince Vaughn,writer,tt0452594
nm0000681,Vince Vaughn,writer,tt1078940
nm0000682,Paul Verhoeven,writer,tt0389557
nm0000682,Paul Verhoeven,writer,tt0164052
nm0000682,Paul Verhoeven,writer,tt0093870
nm0000683,Gore Vidal,writer,tt0119177
nm0000683,Gore Vidal,writer,tt0111732
nm0000685,Jon Voight,writer,tt0118615
nm0000685,Jon Voight,writer,tt0089941
nm0000691,John Waters,writer,tt0126604
nm0000691,John Waters,writer,tt0095270
nm0000691,John Waters,writer,tt0387575
nm0000694,Wim Wenders,writer,tt0087884
nm0000694,Wim Wenders,writer,tt0107209
nm0000694,Wim Wenders,writer,tt0101458
nm0000694,Wim Wenders,writer,tt0093191
nm0000696,Wil Wheaton,writer,tt0092005
nm0000696,Wil Wheaton,writer,tt0084649
nm0000698,Gene Wilder,writer,tt0098282
nm0000706,Michelle Yeoh,writer,tt0120347
nm0000706,Michelle Yeoh,writer,tt0190332
nm0000706,Michelle Yeoh,writer,tt3104988
nm0000709,Robert Zemeckis,writer,tt0088763
nm0000709,Robert Zemeckis,writer,tt0109830
nm0000709,Robert Zemeckis,writer,tt0118884
nm0000714,Willie Aames,writer,tt0084945
nm0000717,Kareem Abdul-Jabbar,writer,tt0113097
nm0000717,Kareem Abdul-Jabbar,writer,tt0080339
nm0000717,Kareem Abdul-Jabbar,writer,tt0089155
nm0000720,Jim Abrahams,writer,tt0102059
nm0000720,Jim Abrahams,writer,tt0088286
nm0000720,Jim Abrahams,writer,tt0080339
nm0000724,Brooke Adams,writer,tt0085407
nm0000724,Brooke Adams,writer,tt0103157
nm0000727,Percy Adlon,writer,tt0095801
nm0000729,Casey Affleck,writer,tt0443680
nm0000729,Casey Affleck,writer,tt6063090
nm0000729,Casey Affleck,writer,tt6265828
nm0000729,Casey Affleck,writer,tt4034228
nm0000735,Brian Aldiss,writer,tt0212720
nm0000750,Jon Amiel,writer,tt0137494
nm0000750,Jon Amiel,writer,tt0112722
nm0000750,Jon Amiel,writer,tt0298814
nm0000750,Jon Amiel,writer,tt0100822
nm0000759,Paul Thomas Anderson,writer,tt0118749
nm0000759,Paul Thomas Anderson,writer,tt0469494
nm0000759,Paul Thomas Anderson,writer,tt1791528
nm0000759,Paul Thomas Anderson,writer,tt0272338
nm0000766,Theodoros Angelopoulos,writer,tt0156794
nm0000767,Jean-Hugues Anglade,writer,tt0110963
nm0000767,Jean-Hugues Anglade,writer,tt0090095
nm0000767,Jean-Hugues Anglade,writer,tt0100263
nm0000767,Jean-Hugues Anglade,writer,tt0090563
nm0000777,Gregg Araki,writer,tt1523483
nm0000777,Gregg Araki,writer,tt2238050
nm0000777,Gregg Araki,writer,tt0370986
nm0000778,Alfonso Arau,writer,tt0114887
nm0000778,Alfonso Arau,writer,tt0092086
nm0000780,Denys Arcand,writer,tt0338135
nm0000780,Denys Arcand,writer,tt0097635
nm0000780,Denys Arcand,writer,tt0090985
nm0000782,Asia Argento,writer,tt0368774
nm0000782,Asia Argento,writer,tt0418819
nm0000782,Asia Argento,writer,tt0295701
nm0000786,George Armitage,writer,tt0100143
nm0000786,George Armitage,writer,tt0119229
nm0000788,Gillian Armstrong,writer,tt0245046
nm0000788,Gillian Armstrong,writer,tt0110367
nm0000792,Tom Arnold,writer,tt0242445
nm0000792,Tom Arnold,writer,tt0117768
nm0000792,Tom Arnold,writer,tt0119640
nm0000792,Tom Arnold,writer,tt0111503
nm0000796,Dana Ashbrook,writer,tt0095990
nm0000796,Dana Ashbrook,writer,tt0105665
nm0000801,Olivier Assayas,writer,tt2452254
nm0000803,Christopher Atkins,writer,tt0080453
nm0000803,Christopher Atkins,writer,tt0086011
nm0000806,Bille August,writer,tt0093713
nm0000806,Bille August,writer,tt0107151
nm0000809,Daniel Auteuil,writer,tt0091288
nm0000812,Roger Avary,writer,tt0110265
nm0000812,Roger Avary,writer,tt0105236
nm0000812,Roger Avary,writer,tt0110912
nm0000816,Jon Avnet,writer,tt0101921
nm0000816,Jon Avnet,writer,tt0118055
nm0000816,Jon Avnet,writer,tt0086200
nm0000821,Amitabh Bachchan,writer,tt0213890
nm0000835,Ralph Bakshi,writer,tt0085542
nm0000850,Clive Barker,writer,tt0093177
nm0000850,Clive Barker,writer,tt0100260
nm0000850,Clive Barker,writer,tt0103919
nm0000853,Bruno Barreto,writer,tt2217458
nm0000853,Bruno Barreto,writer,tt0086871
nm0000872,Patrick Bauchau,writer,tt0258000
nm0000872,Patrick Bauchau,writer,tt0090264
nm0000876,Noah Baumbach,writer,tt0367089
nm0000882,Nathalie Baye,writer,tt0204709
nm0000903,Brian Benben,writer,tt0099817
nm0000903,Brian Benben,writer,tt0110939
nm0000905,Roberto Benigni,writer,tt0102164
nm0000905,Roberto Benigni,writer,tt0090967
nm0000914,Robert Benton,writer,tt0087921
nm0000915,Bruce Beresford,writer,tt0080310
nm0000915,Bruce Beresford,writer,tt0091081
nm0000915,Bruce Beresford,writer,tt4196848
nm0000915,Bruce Beresford,writer,tt0097239
nm0000916,Peter Berg,writer,tt0124198
nm0000916,Peter Berg,writer,tt0369339
nm0000916,Peter Berg,writer,tt1091191
nm0000921,Andrew Bergman,writer,tt0110167
nm0000921,Andrew Bergman,writer,tt0117765
nm0000921,Andrew Bergman,writer,tt0089155
nm0000925,Steven Berkoff,writer,tt1243957
nm0000925,Steven Berkoff,writer,tt0086034
nm0000925,Steven Berkoff,writer,tt0086960
nm0000928,Sandra Bernhard,writer,tt0120901
nm0000928,Sandra Bernhard,writer,tt0102070
nm0000928,Sandra Bernhard,writer,tt0085794
nm0000929,Corbin Bernsen,writer,tt0097815
nm0000929,Corbin Bernsen,writer,tt0110442
nm0000934,Bernardo Bertolucci,writer,tt0117737
nm0000940,Bigas Luna,writer,tt0104545
nm0000940,Bigas Luna,writer,tt0090644
nm0000947,Karen Black,writer,tt0251736
nm0000948,Shane Black,writer,tt3799694
nm0000948,Shane Black,writer,tt1300854
nm0000948,Shane Black,writer,tt0093773
nm0000949,Cate Blanchett,writer,tt2402927
nm0000949,Cate Blanchett,writer,tt0127536
nm0000949,Cate Blanchett,writer,tt2334873
nm0000949,Cate Blanchett,writer,tt0120737
nm0000950,Brenda Blethyn,writer,tt0414387
nm0000950,Brenda Blethyn,writer,tt0117589
nm0000950,Brenda Blethyn,writer,tt0147004
nm0000952,Hart Bochner,writer,tt0106364
nm0000952,Hart Bochner,writer,tt0095016
nm0000952,Hart Bochner,writer,tt0088206
nm0000958,John Boorman,writer,tt0093209
nm0000958,John Boorman,writer,tt0082348
nm0000958,John Boorman,writer,tt0120706
nm0000980,Jim Broadbent,writer,tt0217505
nm0000980,Jim Broadbent,writer,tt1007029
nm0000980,Jim Broadbent,writer,tt0203009
nm0000983,Albert Brooks,writer,tt0089504
nm0000983,Albert Brooks,writer,tt0092699
nm0000983,Albert Brooks,writer,tt0101698
nm0000985,James L. Brooks,writer,tt0086425
nm0000985,James L. Brooks,writer,tt0092699
nm0000985,James L. Brooks,writer,tt0119822
nm0000985,James L. Brooks,writer,tt0371246
nm0000986,Bryan Brown,writer,tt0094889
nm0000986,Bryan Brown,writer,tt0080310
nm0000986,Bryan Brown,writer,tt2404233
nm0000991,Geneviève Bujold,writer,tt0094964
nm0001002,Dean Cain,writer,tt2528814
nm0001003,Simon Callow,writer,tt0138097
nm0001003,Simon Callow,writer,tt0091867
nm0001003,Simon Callow,writer,tt0109831
nm0001005,Jane Campion,writer,tt0810784
nm0001005,Jane Campion,writer,tt0107822
nm0001007,Dyan Cannon,writer,tt0083806
nm0001013,Harry Carey Jr.,writer,tt0099528
nm0001013,Harry Carey Jr.,writer,tt0087363
nm0001013,Harry Carey Jr.,writer,tt0108358
nm0001022,Dana Carvey,writer,tt0295427
nm0001022,Dana Carvey,writer,tt0108525
nm0001022,Dana Carvey,writer,tt0105793
nm0001024,Nick Cassavetes,writer,tt0119094
nm0001024,Nick Cassavetes,writer,tt1078588
nm0001024,Nick Cassavetes,writer,tt0138304
nm0001024,Nick Cassavetes,writer,tt0426883
nm0001031,Claude Chabrol,writer,tt0112769
nm0001036,Geraldine Chaplin,writer,tt0464141
nm0001036,Geraldine Chaplin,writer,tt0287467
nm0001045,Tommy Chong,writer,tt0086366
nm0001045,Tommy Chong,writer,tt2948356
nm0001045,Tommy Chong,writer,tt0080520
nm0001047,Michael Cimino,writer,tt0090350
nm0001047,Michael Cimino,writer,tt0080855
