nconst,primaryName,primaryProfession,tconst
nm0000982,Josh Brolin,director,tt0477348
nm0000982,Josh Brolin,director,tt4154796
nm0000982,Josh Brolin,director,tt1791528
nm0000984,Avery Brooks,director,tt0120586
nm0000984,Avery Brooks,director,tt0120609
nm0000984,Avery Brooks,director,tt0179626
nm0000987,Jim Brown,director,tt0116996
nm0000987,Jim Brown,director,tt0146838
nm0000987,Jim Brown,director,tt0093894
nm0000996,LeVar Burton,director,tt0253754
nm0000996,LeVar Burton,director,tt0111280
nm0000996,LeVar Burton,director,tt0117731
nm0000996,LeVar Burton,director,tt0120844
nm0001001,James Caan,director,tt0100157
nm0001001,James Caan,director,tt0083190
nm0001005,Jane Campion,director,tt0810784
nm0001005,Jane Campion,director,tt0107822
nm0001015,Robert Carlyle,director,tt0117951
nm0001015,Robert Carlyle,director,tt2763304
nm0001015,Robert Carlyle,director,tt0129332
nm0001015,Robert Carlyle,director,tt0119164
nm0001024,Nick Cassavetes,director,tt0119094
