tconst,titleType,primaryTitle,startYear,averageRating,genres
tt0084445,movie,One from the Heart,1981,6.5,"Drama,Musical,Romance"
tt0084455,movie,Out,1982,3.0,Drama
tt0084456,movie,Out of Time,1982,0.0,Musical
tt0084458,movie,The Wizard of Oz,1982,6.6,"Adventure,Animation,Comedy"
tt0084469,movie,Paradise,1982,4.9,"Adventure,Romance"
tt0084471,movie,The Paramedic,1982,5.5,Comedy
tt0084472,movie,Parasite,1982,4.0,"Horror,Sci-Fi"
tt0084477,movie,Partners,1982,5.3,"Comedy,Crime"
tt0084481,movie,Passion,1982,6.2,"Comedy,Drama"
tt0084485,movie,Penitentiary II,1982,4.4,"Crime,Drama,Sport"
tt0084489,movie,Personal Best,1982,6.3,"Drama,Sport"
tt0084503,movie,Pink Floyd: The Wall,1982,8.0,"Drama,Fantasy,Music"
tt0084516,movie,Poltergeist,1982,7.3,"Horror,Thriller"
tt0084522,movie,Porky's,1981,6.2,Comedy
tt0084548,movie,Interrogation,1989,8.0,"Crime,Drama,Thriller"
tt0084589,movie,The Return of Martin Guerre,1982,7.4,"Biography,Crime,Drama"
tt0084597,movie,Richard Pryor: Live on the Sunset Strip,1982,7.6,"Comedy,Documentary"
tt0084602,movie,Rocky III,1982,6.8,"Drama,Sport"
tt0084616,movie,Running on Empty,1982,5.7,"Action,Drama,Sport"
tt0084649,movie,The Secret of NIMH,1982,7.5,"Adventure,Animation,Drama"
tt0084652,movie,The Seduction,1982,4.9,Thriller
tt0084658,movie,The Sender,1982,6.0,"Drama,Horror,Sci-Fi"
tt0084671,movie,Legendary Weapons of China,1982,6.9,"Action,Comedy,Drama"
tt0084675,movie,Shoot the Moon,1982,6.8,Drama
tt0084684,movie,Silent Rage,1982,5.4,"Action,Crime,Horror"
tt0084690,movie,Six Pack,1982,6.0,"Comedy,Drama,Sport"
tt0084691,movie,Six Weeks,1982,5.6,Drama
tt0084704,movie,The Soldier,1982,5.3,"Action,Adventure,Thriller"
tt0084707,movie,Sophie's Choice,1982,7.5,"Drama,Romance"
tt0084714,movie,Split Image,1982,6.4,"Drama,Romance"
tt0084725,movie,The State of Things,1982,6.9,Drama
